2026-05-01 13:02:34 [INFO] [reachability-metadata-manager] [+] Dependency: httpclient:4.5.5 | Refl: 2 | Proxy: 0
2026-05-01 13:02:35 [INFO] [reachability-metadata-manager] [+] Dependency: slf4j-api:1.7.25 | Refl: 2 | Proxy: 0
2026-05-01 13:02:36 [INFO] [reachability-metadata-manager] [+] Dependency: httpcore:4.4.9 | Refl: 3 | Proxy: 0
2026-05-01 13:02:38 [INFO] [reachability-metadata-manager] [+] Dependency: logback-classic:1.2.3 | Refl: 97 | Proxy: 0
2026-05-01 13:02:38 [INFO] [reachability-metadata-manager] [+] Dependency: logback-core:1.2.3 | Refl: 8 | Proxy: 0
2026-05-01 13:02:46 [INFO] [reachability-metadata-manager] [+] Dependency: HdrHistogram:2.1.9 | Refl: 12 | Proxy: 0
2026-05-01 13:02:50 [INFO] [reachability-metadata-manager] [+] Dependency: asm:5.0.4 | Refl: 4 | Proxy: 0
2026-05-01 13:02:50 [INFO] [reachability-metadata-manager] [+] Dependency: objenesis:2.6 | Refl: 1 | Proxy: 0
2026-05-01 13:02:53 [INFO] [reachability-metadata-manager] [+] Dependency: joda-time:2.9.9 | Refl: 3 | Proxy: 0
2026-05-01 13:03:04 [INFO] [reachability-metadata-manager] [+] Dependency: netty-common:4.1.25.Final | Refl: 750 | Proxy: 0
2026-05-01 13:03:05 [INFO] [reachability-metadata-manager] [+] Dependency: netty-transport:4.1.25.Final | Refl: 3 | Proxy: 0
2026-05-01 13:03:06 [INFO] [reachability-metadata-manager] [+] Dependency: netty-resolver:4.1.25.Final | Refl: 7 | Proxy: 0
2026-05-01 13:03:09 [INFO] [reachability-metadata-manager] [+] Dependency: commons-lang3:3.7 | Refl: 28 | Proxy: 0
2026-05-01 13:03:11 [INFO] [reachability-metadata-manager] [+] Dependency: commons-io:2.4 | Refl: 4 | Proxy: 0
2026-05-01 13:03:13 [INFO] [reachability-metadata-manager] [+] Dependency: zipkin-reporter:2.7.3 | Refl: 2 | Proxy: 0
2026-05-01 13:03:24 [INFO] [reachability-metadata-manager] [+] Dependency: amqp-client:5.1.2 | Refl: 21 | Proxy: 0
2026-05-01 13:03:25 [INFO] [reachability-metadata-manager] [+] Dependency: reactor-core:3.1.8.RELEASE | Refl: 3 | Proxy: 0
2026-05-01 13:03:29 [INFO] [reachability-metadata-manager] [+] Dependency: activation:1.1 | Refl: 1 | Proxy: 0
